               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074019,            0.032817,            0.025242,             0.40609,             0.67127,              0.5221,             0.28912,            0.055352,           0.0098855,            0.013505,             0.07037,           0.0032922,           0.0032922
                   1,             0.05491,            0.025954,            0.010965,              0.5925,             0.72661,             0.67997,             0.35924,            0.047608,           0.0094337,           0.0060717,            0.040324,           0.0065787,           0.0065787
                   2,            0.048696,             0.02435,           0.0076011,             0.74633,             0.65255,              0.7322,             0.40861,            0.044936,            0.010299,           0.0054663,             0.01023,            0.009818,            0.009818
                   3,            0.043823,            0.024567,           0.0070742,             0.74166,              0.6422,             0.68079,             0.41087,            0.041195,            0.010689,           0.0089064,           0.0097879,           0.0097879,           0.0097879
                   4,            0.041145,             0.02493,           0.0073544,             0.73553,             0.72603,             0.74778,             0.44766,            0.036876,            0.010756,            0.012903,           0.0097879,           0.0097879,           0.0097879
                   5,            0.039708,            0.025199,           0.0069673,             0.69208,             0.65776,             0.69333,             0.41596,            0.035779,            0.010463,           0.0064894,           0.0097171,           0.0097171,           0.0097171
                   6,            0.039315,            0.024376,           0.0056476,             0.75644,             0.66414,             0.73577,             0.45902,            0.037281,            0.010096,           0.0052926,           0.0096464,           0.0096464,           0.0096464
                   7,            0.038335,            0.024555,           0.0052008,              0.7198,             0.59067,             0.68311,             0.44418,            0.035739,            0.010125,           0.0087696,           0.0095757,           0.0095757,           0.0095757
                   8,            0.037945,            0.024123,           0.0055621,             0.65262,             0.67662,             0.65799,             0.41178,            0.036163,            0.010193,           0.0094162,            0.009505,            0.009505,            0.009505
                   9,            0.037196,            0.023814,            0.004822,             0.64763,             0.58768,             0.63973,             0.40462,            0.036487,            0.011203,           0.0091212,           0.0094343,           0.0094343,           0.0094343
                  10,            0.036838,            0.024233,           0.0050044,             0.75346,              0.6962,             0.73368,             0.47973,            0.034873,           0.0098966,            0.008329,           0.0093636,           0.0093636,           0.0093636
                  11,            0.036279,             0.02372,           0.0043674,             0.78794,             0.74297,             0.79789,             0.52297,            0.036048,           0.0099716,           0.0035912,           0.0092929,           0.0092929,           0.0092929
                  12,            0.036418,            0.023409,           0.0040526,             0.71689,             0.69228,             0.71565,             0.47821,            0.034418,            0.009912,           0.0064384,           0.0092221,           0.0092221,           0.0092221
                  13,            0.035294,            0.023195,           0.0046975,             0.65394,             0.59497,             0.64238,             0.40725,            0.040766,            0.011005,            0.011223,           0.0091514,           0.0091514,           0.0091514
                  14,            0.035557,            0.023188,           0.0042139,             0.79555,             0.73814,              0.7865,             0.52596,            0.033526,           0.0095546,           0.0040667,           0.0090807,           0.0090807,           0.0090807
                  15,            0.035507,            0.022892,            0.003943,             0.80368,             0.75067,             0.81447,             0.55412,            0.032732,           0.0093012,           0.0043156,             0.00901,             0.00901,             0.00901
                  16,            0.034489,            0.022898,            0.003973,             0.76015,             0.65004,              0.6894,             0.41802,            0.036783,            0.010602,           0.0053295,           0.0089393,           0.0089393,           0.0089393
                  17,             0.03466,            0.023002,            0.003615,             0.78597,              0.7444,             0.80793,               0.542,             0.03335,            0.009065,           0.0039368,           0.0088686,           0.0088686,           0.0088686
                  18,            0.034373,            0.023112,           0.0038114,              0.7685,             0.81473,             0.81995,             0.56496,            0.032371,           0.0092642,           0.0040492,           0.0087979,           0.0087979,           0.0087979
                  19,            0.033813,            0.022386,           0.0036173,             0.80122,             0.76219,             0.80519,             0.55892,             0.03214,           0.0090909,           0.0037571,           0.0087271,           0.0087271,           0.0087271
                  20,            0.033701,            0.022962,           0.0034745,              0.7968,             0.76516,             0.82366,             0.57564,            0.032623,           0.0089601,           0.0030802,           0.0086564,           0.0086564,           0.0086564
                  21,            0.033417,            0.022518,           0.0034874,             0.77161,              0.7482,             0.78667,              0.5541,            0.033015,           0.0094235,           0.0036263,           0.0085857,           0.0085857,           0.0085857
                  22,            0.033454,            0.022173,           0.0031889,             0.78665,             0.77123,             0.81385,              0.5682,            0.033747,           0.0093501,           0.0036295,            0.008515,            0.008515,            0.008515
                  23,            0.033143,            0.022159,           0.0032567,             0.76412,             0.78574,             0.79679,             0.57432,             0.03235,           0.0093756,           0.0044858,           0.0084443,           0.0084443,           0.0084443
                  24,            0.033129,            0.022233,           0.0030806,             0.84907,             0.74968,             0.80848,             0.57155,            0.032438,           0.0090346,           0.0036675,           0.0083736,           0.0083736,           0.0083736
                  25,            0.032693,            0.021831,           0.0028809,             0.78071,             0.77659,             0.79979,             0.55424,            0.033232,           0.0093658,           0.0042093,           0.0083029,           0.0083029,           0.0083029
                  26,            0.032741,            0.022018,           0.0031043,             0.73568,             0.79499,             0.80074,             0.56061,            0.032315,           0.0088224,           0.0094534,           0.0082321,           0.0082321,           0.0082321
                  27,            0.032603,            0.021869,           0.0028335,             0.82029,             0.77324,             0.81345,             0.57994,            0.031038,           0.0090652,           0.0026638,           0.0081614,           0.0081614,           0.0081614
                  28,            0.031969,            0.021673,            0.003431,             0.78879,              0.7786,             0.80855,             0.58333,            0.031946,           0.0091929,            0.004315,           0.0080907,           0.0080907,           0.0080907
                  29,             0.03219,             0.02179,           0.0028223,             0.77725,             0.79664,             0.82223,             0.58039,            0.031786,           0.0089908,           0.0023845,             0.00802,             0.00802,             0.00802
                  30,            0.031916,            0.021564,           0.0027191,             0.76889,             0.77378,             0.80385,              0.5833,            0.031454,           0.0087869,           0.0038438,           0.0079493,           0.0079493,           0.0079493
                  31,             0.03145,            0.021631,           0.0028214,             0.79052,               0.801,             0.81696,             0.59224,            0.030513,           0.0089581,           0.0063681,           0.0078786,           0.0078786,           0.0078786
                  32,            0.031592,            0.021437,            0.002851,             0.82212,             0.80602,             0.83447,              0.6163,            0.031052,            0.008729,           0.0039021,           0.0078079,           0.0078079,           0.0078079
                  33,             0.03159,            0.021471,           0.0028475,             0.78688,             0.82506,              0.8314,             0.61008,            0.030485,           0.0088775,           0.0037843,           0.0077371,           0.0077371,           0.0077371
                  34,            0.030877,            0.021244,             0.00269,             0.81303,             0.78477,             0.83099,             0.60761,            0.031567,           0.0089102,           0.0018969,           0.0076664,           0.0076664,           0.0076664
                  35,            0.031208,            0.021386,           0.0026267,             0.74437,             0.78964,             0.80849,             0.58969,            0.032064,           0.0087404,           0.0042619,           0.0075957,           0.0075957,           0.0075957
                  36,            0.030771,            0.020907,            0.002637,             0.80567,             0.80779,             0.84273,             0.61766,            0.030885,            0.008759,           0.0059172,            0.007525,            0.007525,            0.007525
                  37,            0.030914,            0.020954,           0.0026836,             0.79376,             0.81139,             0.81633,             0.58033,            0.031402,            0.008955,           0.0020903,           0.0074543,           0.0074543,           0.0074543
                  38,            0.030827,             0.02088,           0.0026807,             0.77003,             0.80748,             0.82546,             0.60772,            0.029887,           0.0089867,           0.0035767,           0.0073836,           0.0073836,           0.0073836
                  39,             0.03041,            0.020593,           0.0024139,             0.82885,             0.79354,             0.84682,             0.62495,            0.031416,           0.0087059,           0.0031185,           0.0073129,           0.0073129,           0.0073129
                  40,            0.030253,             0.02055,           0.0023639,             0.82609,             0.79778,             0.84504,              0.6278,            0.030219,           0.0086503,           0.0052663,           0.0072421,           0.0072421,           0.0072421
                  41,            0.030469,            0.020908,           0.0024712,             0.80376,             0.75974,             0.80674,             0.59538,            0.030321,            0.008903,           0.0022945,           0.0071714,           0.0071714,           0.0071714
                  42,            0.030174,            0.020705,           0.0023578,              0.8296,             0.82441,              0.8536,              0.6333,            0.029815,           0.0085492,           0.0022696,           0.0071007,           0.0071007,           0.0071007
